sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,BUSI,MedSAM,calib,benign (102),benign (102),image,0.8552228955421327,0,0,0,0.515625,0.3896484375
1,BUSI,MedSAM,calib,benign (111),benign (111),image,0.7589636220890893,0,1,0,0.6379166666666667,0.4736328125
2,BUSI,MedSAM,calib,benign (115),benign (115),image,0.7668676428369697,0,1,0,0.68375,0.4580078125
3,BUSI,MedSAM,test,benign (117),benign (117),image,0.8107373130401286,0,0,0,0.2405,0.38623046875
4,BUSI,MedSAM,calib,benign (118),benign (118),image,0.712994350282756,0,1,0,0.84625,0.45361328125
5,BUSI,MedSAM,calib,benign (119),benign (119),image,0.8103686635946884,0,0,0,0.7638750000000001,0.4658203125
6,BUSI,MedSAM,test,benign (126),benign (126),image,0.7981320314160495,0,1,0,0.763375,0.48486328125
7,BUSI,MedSAM,test,benign (129),benign (129),image,0.8850545111169328,0,0,0,0.5670000000000001,0.44091796875
8,BUSI,MedSAM,test,benign (13),benign (13),image,0.926748601527099,0,0,0,0.4326666666666666,0.3955078125
9,BUSI,MedSAM,test,benign (134),benign (134),image,0.7967787778313747,0,1,0,0.65375,0.47900390625
10,BUSI,MedSAM,test,benign (138),benign (138),image,0.7727272727279524,0,1,0,0.64025,0.501953125
11,BUSI,MedSAM,test,benign (139),benign (139),image,0.8855456913508662,0,0,0,0.4841666666666667,0.40478515625
12,BUSI,MedSAM,test,benign (14),benign (14),image,0.7369617734833921,0,1,0,0.819375,0.509033203125
13,BUSI,MedSAM,test,benign (145),benign (145),image,0.8182503254094552,0,0,0,0.4539583333333333,0.4169921875
14,BUSI,MedSAM,test,benign (146),benign (146),image,0.803180914513705,0,0,0,0.343375,0.42236328125
15,BUSI,MedSAM,calib,benign (149),benign (149),image,0.890331271814408,0,0,0,0.3908333333333333,0.39404296875
16,BUSI,MedSAM,test,benign (15),benign (15),image,0.7584822324839219,0,1,0,0.844875,0.4951171875
17,BUSI,MedSAM,test,benign (152),benign (152),image,0.8635352948231925,0,0,0,0.6646875000000001,0.4287109375
18,BUSI,MedSAM,test,benign (157),benign (157),image,0.8761634965601598,0,0,0,0.58,0.4140625
19,BUSI,MedSAM,test,benign (158),benign (158),image,0.9193998965338972,0,0,0,0.2497916666666667,0.38134765625
20,BUSI,MedSAM,calib,benign (16),benign (16),image,0.7691897654590374,0,1,0,0.5393749999999999,0.46875
21,BUSI,MedSAM,test,benign (168),benign (168),image,0.9328727396793188,0,0,0,0.3153125,0.3857421875
22,BUSI,MedSAM,calib,benign (169),benign (169),image,0.6807533302724816,1,1,0,0.7766249999999999,0.49755859375
23,BUSI,MedSAM,test,benign (17),benign (17),image,0.7648346303504804,0,1,0,0.5095000000000001,0.45849609375
24,BUSI,MedSAM,test,benign (171),benign (171),image,0.7599637681170291,0,1,0,0.4565,0.44580078125
25,BUSI,MedSAM,calib,benign (176),benign (176),image,0.6264391732561708,1,1,0,0.818,0.503173828125
26,BUSI,MedSAM,calib,benign (181),benign (181),image,0.8740674303885454,0,0,0,0.4633333333333333,0.3837890625
27,BUSI,MedSAM,test,benign (185),benign (185),image,0.6066429914359586,1,1,0,0.53,0.44580078125
28,BUSI,MedSAM,test,benign (187),benign (187),image,0.7228049728052419,0,1,0,0.6363333333333334,0.462890625
29,BUSI,MedSAM,calib,benign (188),benign (188),image,0.9167077291798504,0,0,0,0.6775,0.40869140625
30,BUSI,MedSAM,test,benign (19),benign (19),image,0.7296308613244774,0,1,0,0.8795,0.504150390625
31,BUSI,MedSAM,test,benign (191),benign (191),image,0.8272011453116289,0,0,0,0.4503333333333333,0.40966796875
32,BUSI,MedSAM,calib,benign (194),benign (194),image,0.7095249636453529,0,1,0,0.6391666666666667,0.42919921875
33,BUSI,MedSAM,calib,benign (197),benign (197),image,0.75540938203262,0,1,0,0.9025,0.513427734375
34,BUSI,MedSAM,calib,benign (198),benign (198),image,0.9186566479143004,0,0,0,0.2891666666666667,0.37353515625
35,BUSI,MedSAM,calib,benign (206),benign (206),image,0.7704028818683407,0,1,0,0.3338541666666667,0.373046875
36,BUSI,MedSAM,test,benign (212),benign (212),image,0.7833256488840056,0,1,0,0.3406666666666667,0.33740234375
37,BUSI,MedSAM,calib,benign (216),benign (216),image,0.8294453885370657,0,0,0,0.6443749999999999,0.412109375
38,BUSI,MedSAM,test,benign (22),benign (22),image,0.8881244750210439,0,0,0,0.4033333333333332,0.37548828125
39,BUSI,MedSAM,calib,benign (223),benign (223),image,0.7069642857145473,0,1,0,0.860625,0.49853515625
40,BUSI,MedSAM,calib,benign (224),benign (224),image,0.6673110304561174,1,1,0,0.46625,0.36376953125
41,BUSI,MedSAM,calib,benign (235),benign (235),image,0.8503261784512179,0,0,0,0.433125,0.3720703125
42,BUSI,MedSAM,calib,benign (238),benign (238),image,0.8948701560022028,0,0,0,0.5233333333333333,0.39501953125
43,BUSI,MedSAM,calib,benign (24),benign (24),image,0.8598832360301711,0,0,0,0.42125,0.39599609375
44,BUSI,MedSAM,calib,benign (246),benign (246),image,0.6850356294551779,1,1,0,0.774375,0.50341796875
45,BUSI,MedSAM,calib,benign (25),benign (25),image,0.7621225262163824,0,1,0,0.7041666666666667,0.45849609375
46,BUSI,MedSAM,test,benign (250),benign (250),image,0.7788487282466147,0,1,0,0.432,0.4150390625
47,BUSI,MedSAM,test,benign (255),benign (255),image,0.8332330439268317,0,0,0,0.485,0.37548828125
48,BUSI,MedSAM,calib,benign (256),benign (256),image,0.8262036515458344,0,0,0,0.4816666666666667,0.37060546875
49,BUSI,MedSAM,calib,benign (258),benign (258),image,0.7948404616431842,0,1,0,0.4464583333333333,0.41845703125
50,BUSI,MedSAM,calib,benign (259),benign (259),image,0.8701542183248442,0,0,0,0.479,0.3994140625
51,BUSI,MedSAM,calib,benign (262),benign (262),image,0.6704589130602397,1,1,0,0.655,0.41552734375
52,BUSI,MedSAM,test,benign (267),benign (267),image,0.8174397031541583,0,0,0,0.4441666666666667,0.40283203125
53,BUSI,MedSAM,calib,benign (270),benign (270),image,0.7646461225875979,0,1,0,0.4915,0.41943359375
54,BUSI,MedSAM,test,benign (272),benign (272),image,0.6701993135426807,1,1,0,0.2635,0.36328125
