sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,BUSI,SAM ViT-B,calib,benign (102),benign (102),image,0.9494699160126808,0,0,0,0.3216666666666666,0.02294921875
1,BUSI,SAM ViT-B,calib,benign (111),benign (111),image,0.9186494448223008,0,0,0,0.2813541666666667,0.0302734375
2,BUSI,SAM ViT-B,calib,benign (115),benign (115),image,0.8569940088566593,0,0,0,0.514375,0.04833984375
3,BUSI,SAM ViT-B,test,benign (117),benign (117),image,0.8796200702044684,0,0,0,0.3075,0.03662109375
4,BUSI,SAM ViT-B,calib,benign (118),benign (118),image,0.8920472692431396,0,0,0,0.5466666666666666,0.04541015625
5,BUSI,SAM ViT-B,calib,benign (119),benign (119),image,0.8813188995929275,0,0,0,0.5791666666666666,0.0439453125
6,BUSI,SAM ViT-B,test,benign (126),benign (126),image,0.8432926829269886,0,0,0,0.2691666666666666,0.03173828125
7,BUSI,SAM ViT-B,test,benign (129),benign (129),image,0.8959945573604082,0,0,0,0.179,0.01953125
8,BUSI,SAM ViT-B,test,benign (13),benign (13),image,0.9553408876110552,0,0,0,0.1919791666666666,0.01806640625
9,BUSI,SAM ViT-B,test,benign (134),benign (134),image,0.9000429000433289,0,0,0,0.379,0.04248046875
10,BUSI,SAM ViT-B,test,benign (138),benign (138),image,0.926803855170808,0,0,0,0.3510416666666667,0.033203125
11,BUSI,SAM ViT-B,test,benign (139),benign (139),image,0.9482967143721284,0,0,0,0.3824999999999999,0.033203125
12,BUSI,SAM ViT-B,test,benign (14),benign (14),image,0.8585690515808798,0,0,0,0.7129166666666666,0.08984375
13,BUSI,SAM ViT-B,test,benign (145),benign (145),image,0.8912959876939551,0,0,0,0.3658333333333333,0.033203125
14,BUSI,SAM ViT-B,test,benign (146),benign (146),image,0.8834130194928892,0,0,0,0.2542708333333333,0.0322265625
15,BUSI,SAM ViT-B,calib,benign (149),benign (149),image,0.9418786579359436,0,0,0,0.2466666666666666,0.02197265625
16,BUSI,SAM ViT-B,test,benign (15),benign (15),image,0.9240324892500016,0,0,0,0.484875,0.05126953125
17,BUSI,SAM ViT-B,test,benign (152),benign (152),image,0.8609731326747427,0,0,0,0.48725,0.05029296875
18,BUSI,SAM ViT-B,test,benign (157),benign (157),image,0.9149718206322396,0,0,0,0.2724999999999999,0.0234375
19,BUSI,SAM ViT-B,test,benign (158),benign (158),image,0.950936458692412,0,0,0,0.287,0.03662109375
20,BUSI,SAM ViT-B,calib,benign (16),benign (16),image,0.8905589478631034,0,0,0,0.2398958333333333,0.025390625
21,BUSI,SAM ViT-B,test,benign (168),benign (168),image,0.949785876228084,0,0,0,0.155,0.0048828125
22,BUSI,SAM ViT-B,calib,benign (169),benign (169),image,0.8921082729702932,0,0,0,0.4629166666666666,0.04443359375
23,BUSI,SAM ViT-B,test,benign (17),benign (17),image,0.8630945750252165,0,0,0,0.26375,0.02978515625
24,BUSI,SAM ViT-B,test,benign (171),benign (171),image,0.8437761069346542,0,0,0,0.6077083333333333,0.0595703125
25,BUSI,SAM ViT-B,calib,benign (176),benign (176),image,0.7276655229384577,0,1,0,0.5908333333333333,0.06591796875
26,BUSI,SAM ViT-B,calib,benign (181),benign (181),image,0.8754333066683332,0,0,0,0.4258333333333333,0.0205078125
27,BUSI,SAM ViT-B,test,benign (185),benign (185),image,0.858159633960586,0,0,0,0.3334375,0.03662109375
28,BUSI,SAM ViT-B,test,benign (187),benign (187),image,0.6796506374865177,1,1,0,0.6387499999999999,0.08984375
29,BUSI,SAM ViT-B,calib,benign (188),benign (188),image,0.9189509953034848,0,0,0,0.5883125,0.04296875
30,BUSI,SAM ViT-B,test,benign (19),benign (19),image,0.9305968133947324,0,0,0,0.5408333333333333,0.04736328125
31,BUSI,SAM ViT-B,test,benign (191),benign (191),image,0.902638275077136,0,0,0,0.2251041666666667,0.0234375
32,BUSI,SAM ViT-B,calib,benign (194),benign (194),image,0.8532022669141616,0,0,0,0.7633333333333333,0.07470703125
