sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,ISIC2018,MedSAM,calib,ISIC_0000032,ISIC_0000032,image,0.9086642824793476,0,0,0,0.41875,0.388671875
1,ISIC2018,MedSAM,calib,ISIC_0000258,ISIC_0000258,image,0.9399671426766087,0,0,0,0.8221875000000001,0.423828125
2,ISIC2018,MedSAM,calib,ISIC_0000306,ISIC_0000306,image,0.967496686312598,0,0,0,0.5091666666666667,0.3984375
3,ISIC2018,MedSAM,calib,ISIC_0000307,ISIC_0000307,image,0.8331383922803371,0,0,0,0.5654374999999999,0.396484375
4,ISIC2018,MedSAM,calib,ISIC_0000364,ISIC_0000364,image,0.8813894982209637,0,0,0,0.6623125,0.39990234375
5,ISIC2018,MedSAM,calib,ISIC_0000376,ISIC_0000376,image,0.9355313678676076,0,0,0,0.6015625,0.41357421875
6,ISIC2018,MedSAM,calib,ISIC_0000503,ISIC_0000503,image,0.9587602282885248,0,0,0,0.4198958333333333,0.392578125
7,ISIC2018,MedSAM,calib,ISIC_0001286,ISIC_0001286,image,0.9231602804833016,0,0,0,0.4041666666666667,0.38037109375
8,ISIC2018,MedSAM,calib,ISIC_0003805,ISIC_0003805,image,0.93578458969929,0,0,0,0.8921250000000001,0.44384765625
9,ISIC2018,MedSAM,calib,ISIC_0009875,ISIC_0009875,image,0.8974639814705787,0,0,0,0.5643750000000001,0.38330078125
10,ISIC2018,MedSAM,calib,ISIC_0009915,ISIC_0009915,image,0.8668622958810652,0,0,0,0.3791666666666666,0.37060546875
11,ISIC2018,MedSAM,calib,ISIC_0009936,ISIC_0009936,image,0.8779514466245666,0,0,0,0.8340624999999999,0.45263671875
12,ISIC2018,MedSAM,calib,ISIC_0009973,ISIC_0009973,image,0.9123625356034406,0,0,0,0.69225,0.4228515625
13,ISIC2018,MedSAM,calib,ISIC_0010010,ISIC_0010010,image,0.9254989418655584,0,0,0,0.6235416666666667,0.4306640625
14,ISIC2018,MedSAM,calib,ISIC_0010062,ISIC_0010062,image,0.9188898532304888,0,0,0,0.4505,0.37841796875
15,ISIC2018,MedSAM,calib,ISIC_0010078,ISIC_0010078,image,0.933725054108092,0,0,0,0.520625,0.39013671875
16,ISIC2018,MedSAM,calib,ISIC_0010235,ISIC_0010235,image,0.9423330354302684,0,0,0,0.8415625,0.42236328125
17,ISIC2018,MedSAM,calib,ISIC_0010320,ISIC_0010320,image,0.8752605843256028,0,0,0,0.471,0.37646484375
18,ISIC2018,MedSAM,calib,ISIC_0010348,ISIC_0010348,image,0.900838919059156,0,0,0,0.471,0.39453125
19,ISIC2018,MedSAM,calib,ISIC_0010356,ISIC_0010356,image,0.8211427291803318,0,0,0,0.6125,0.41943359375
