sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,ISIC2018,SAM ViT-B,calib,ISIC_0000032,ISIC_0000032,image,0.8846025109245014,0,0,0,0.8494999999999999,0.0712890625
1,ISIC2018,SAM ViT-B,calib,ISIC_0000258,ISIC_0000258,image,0.9138500345096414,0,0,0,0.64,0.03466796875
2,ISIC2018,SAM ViT-B,calib,ISIC_0000306,ISIC_0000306,image,0.9343006574242468,0,0,0,0.5539583333333333,0.04638671875
3,ISIC2018,SAM ViT-B,calib,ISIC_0000307,ISIC_0000307,image,0.943411002281266,0,0,0,0.7339583333333333,0.05126953125
4,ISIC2018,SAM ViT-B,calib,ISIC_0000364,ISIC_0000364,image,0.7835607151290823,0,1,0,0.90775,0.07470703125
5,ISIC2018,SAM ViT-B,calib,ISIC_0000376,ISIC_0000376,image,0.8230204575282651,0,0,0,0.850375,0.10693359375
6,ISIC2018,SAM ViT-B,calib,ISIC_0000503,ISIC_0000503,image,0.8392457144376478,0,0,0,0.386,0.0322265625
7,ISIC2018,SAM ViT-B,calib,ISIC_0001286,ISIC_0001286,image,0.866441425094836,0,0,0,0.7041666666666666,0.05419921875
8,ISIC2018,SAM ViT-B,calib,ISIC_0003805,ISIC_0003805,image,0.8074055676832195,0,0,0,0.4520833333333333,0.044921875
9,ISIC2018,SAM ViT-B,calib,ISIC_0009875,ISIC_0009875,image,0.8240067852472724,0,0,0,0.8975,0.076171875
10,ISIC2018,SAM ViT-B,calib,ISIC_0009915,ISIC_0009915,image,0.8887007727817523,0,0,0,0.9075,0.08740234375
11,ISIC2018,SAM ViT-B,calib,ISIC_0009936,ISIC_0009936,image,0.7408643710471405,0,1,0,0.4196666666666667,0.0439453125
12,ISIC2018,SAM ViT-B,calib,ISIC_0009973,ISIC_0009973,image,0.8833121708978424,0,0,0,0.6309374999999999,0.0439453125
13,ISIC2018,SAM ViT-B,calib,ISIC_0010010,ISIC_0010010,image,0.931719600944628,0,0,0,0.2283333333333333,0.02587890625
14,ISIC2018,SAM ViT-B,calib,ISIC_0010062,ISIC_0010062,image,0.8560520824885177,0,0,0,0.515,0.03076171875
15,ISIC2018,SAM ViT-B,calib,ISIC_0010078,ISIC_0010078,image,0.847208912141961,0,0,0,0.8945,0.1318359375
16,ISIC2018,SAM ViT-B,calib,ISIC_0010235,ISIC_0010235,image,0.9170682931152924,0,0,0,0.45,0.02001953125
17,ISIC2018,SAM ViT-B,calib,ISIC_0010320,ISIC_0010320,image,0.8655403192596662,0,0,0,0.76625,0.06884765625
18,ISIC2018,SAM ViT-B,calib,ISIC_0010348,ISIC_0010348,image,0.8713393066219729,0,0,0,0.8116666666666668,0.07666015625
19,ISIC2018,SAM ViT-B,calib,ISIC_0010356,ISIC_0010356,image,0.7791946654751251,0,1,0,0.6637500000000001,0.0673828125
20,ISIC2018,SAM ViT-B,calib,ISIC_0010372,ISIC_0010372,image,0.945907166941676,0,0,0,0.7034375,0.05419921875
21,ISIC2018,SAM ViT-B,calib,ISIC_0010479,ISIC_0010479,image,0.9596166362398008,0,0,0,0.7168749999999999,0.05615234375
22,ISIC2018,SAM ViT-B,calib,ISIC_0010606,ISIC_0010606,image,0.9523048590857972,0,0,0,0.2303333333333333,0.02197265625
23,ISIC2018,SAM ViT-B,calib,ISIC_0010858,ISIC_0010858,image,0.8622097440420601,0,0,0,0.802,0.05810546875
24,ISIC2018,SAM ViT-B,calib,ISIC_0011163,ISIC_0011163,image,0.8102632680735243,0,0,0,0.2481249999999999,0.02587890625
25,ISIC2018,SAM ViT-B,calib,ISIC_0011170,ISIC_0011170,image,0.8535317850751837,0,0,0,0.744,0.060546875
26,ISIC2018,SAM ViT-B,calib,ISIC_0011220,ISIC_0011220,image,0.7238256196915142,0,1,0,0.4175,0.04248046875
27,ISIC2018,SAM ViT-B,calib,ISIC_0011224,ISIC_0011224,image,0.7234002945273195,0,1,0,0.8225,0.06982421875
28,ISIC2018,SAM ViT-B,calib,ISIC_0011338,ISIC_0011338,image,0.8411127244395722,0,0,0,0.6028333333333333,0.0478515625
29,ISIC2018,SAM ViT-B,calib,ISIC_0012206,ISIC_0012206,image,0.8289371097644966,0,0,0,0.3841666666666666,0.0322265625
30,ISIC2018,SAM ViT-B,calib,ISIC_0012330,ISIC_0012330,image,0.9060186059799022,0,0,0,0.725,0.05615234375
31,ISIC2018,SAM ViT-B,calib,ISIC_0012357,ISIC_0012357,image,0.91711117013124,0,0,0,0.4411666666666666,0.0322265625
