sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,LiTS17,SAM ViT-B,calib,volume-20_slice_476,volume-20,case,0.8515406162506571,0,0,0,0.3794791666666666,0.078125
1,LiTS17,SAM ViT-B,calib,volume-71_slice_79,volume-71,case,0.920282267243378,0,0,0,0.5971875,0.0732421875
2,LiTS17,SAM ViT-B,calib,volume-73_slice_99,volume-73,case,0.8618266978955076,0,0,0,0.667875,0.1220703125
3,LiTS17,SAM ViT-B,calib,volume-122_slice_236,volume-122,case,0.1810505645561212,1,1,1,0.6983333333333334,0.08154296875
4,LiTS17,SAM ViT-B,calib,volume-76_slice_137,volume-76,case,0.2601333667131114,1,1,1,0.5155624999999999,0.06396484375
5,LiTS17,SAM ViT-B,calib,volume-4_slice_453,volume-4,case,0.6745453564298542,1,1,0,0.665625,0.0830078125
6,LiTS17,SAM ViT-B,calib,volume-63_slice_82,volume-63,case,0.8869179600911992,0,0,0,0.6608333333333334,0.1572265625
7,LiTS17,SAM ViT-B,calib,volume-10_slice_348,volume-10,case,0.7097872340450232,0,1,0,0.4791666666666666,0.060546875
8,LiTS17,SAM ViT-B,calib,volume-77_slice_74,volume-77,case,0.7576099210850326,0,1,0,0.835,0.15185546875
9,LiTS17,SAM ViT-B,calib,volume-121_slice_261,volume-121,case,0.8635097493074231,0,0,0,0.711875,0.109375
10,LiTS17,SAM ViT-B,calib,volume-56_slice_139,volume-56,case,0.6849710982674134,1,1,0,0.385,0.06298828125
11,LiTS17,SAM ViT-B,calib,volume-57_slice_326,volume-57,case,0.9084041548639434,0,0,0,0.5298333333333334,0.09716796875
12,LiTS17,SAM ViT-B,calib,volume-118_slice_217,volume-118,case,0.5784365625558877,1,1,0,0.2714375,0.0283203125
13,LiTS17,SAM ViT-B,calib,volume-118_slice_263,volume-118,case,0.7469912102773284,0,1,0,0.6875,0.0908203125
14,LiTS17,SAM ViT-B,calib,volume-56_slice_145,volume-56,case,0.8958911015883643,0,0,0,0.327,0.03955078125
15,LiTS17,SAM ViT-B,calib,volume-93_slice_454,volume-93,case,0.2423573069450245,1,1,1,0.6330625,0.08251953125
16,LiTS17,SAM ViT-B,calib,volume-94_slice_593,volume-94,case,0.0619659825924051,1,1,1,0.4524375,0.0625
17,LiTS17,SAM ViT-B,calib,volume-126_slice_223,volume-126,case,0.844978165940557,0,0,0,0.5714583333333333,0.109375
