sample_idx,dataset,model,split,image_id,case_id,resampling_level,base_dice,failure70,failure80,severe50,sprc_cb_score,sam_confidence_risk
0,PROMISE12,SAM ViT-B,calib,Case04_slice011,Case04,case,0.9089657761372026,0,0,0,0.8402083333333332,0.0732421875
1,PROMISE12,SAM ViT-B,calib,Case04_slice021,Case04,case,0.9174095746770148,0,0,0,0.7297916666666666,0.05517578125
2,PROMISE12,SAM ViT-B,calib,Case04_slice025,Case04,case,0.9452095511741082,0,0,0,0.628125,0.05517578125
3,PROMISE12,SAM ViT-B,calib,Case04_slice028,Case04,case,0.935585585585622,0,0,0,0.7261249999999999,0.06103515625
4,PROMISE12,SAM ViT-B,calib,Case04_slice029,Case04,case,0.8578728840627511,0,0,0,0.8078333333333334,0.06640625
5,PROMISE12,SAM ViT-B,calib,Case05_slice019,Case05,case,0.936232823761207,0,0,0,0.5680000000000001,0.05615234375
6,PROMISE12,SAM ViT-B,calib,Case05_slice030,Case05,case,0.8632782155144472,0,0,0,0.8771875,0.0712890625
7,PROMISE12,SAM ViT-B,calib,Case07_slice009,Case07,case,0.9061045422931324,0,0,0,0.9309375,0.09423828125
8,PROMISE12,SAM ViT-B,calib,Case09_slice010,Case09,case,0.8304652299007489,0,0,0,0.7796875000000001,0.06689453125
9,PROMISE12,SAM ViT-B,calib,Case09_slice013,Case09,case,0.906666666666717,0,0,0,0.6331249999999999,0.06591796875
10,PROMISE12,SAM ViT-B,calib,Case09_slice021,Case09,case,0.9304766635709962,0,0,0,0.5775,0.04833984375
11,PROMISE12,SAM ViT-B,calib,Case09_slice022,Case09,case,0.9466709008150848,0,0,0,0.4348958333333333,0.03515625
12,PROMISE12,SAM ViT-B,calib,Case09_slice024,Case09,case,0.882663137534382,0,0,0,0.6227083333333333,0.046875
13,PROMISE12,SAM ViT-B,calib,Case09_slice031,Case09,case,0.8913541989464572,0,0,0,0.6487499999999999,0.0498046875
14,PROMISE12,SAM ViT-B,calib,Case18_slice004,Case18,case,0.9425683616704986,0,0,0,0.7075,0.05615234375
15,PROMISE12,SAM ViT-B,calib,Case18_slice008,Case18,case,0.9597969660264408,0,0,0,0.3105624999999999,0.02734375
16,PROMISE12,SAM ViT-B,calib,Case18_slice016,Case18,case,0.9565727699531792,0,0,0,0.3316666666666666,0.03515625
17,PROMISE12,SAM ViT-B,calib,Case20_slice013,Case20,case,0.9266903914592052,0,0,0,0.6473333333333333,0.05517578125
